Gene_Symbol	Upregulated
ASPHD1	Tumor
ASPM	Tumor
ASPN	Tumor
ASS1	Tumor
ASXL2	Tumor
ATAD2	Tumor
ATAD5	Tumor
ATF2	Tumor
ATF3	Tumor
ATF7IP	Tumor
ATG16L2	Normal
ATG9B	Normal
ATIC	Tumor
ATOH8	Normal
ATP11A	Tumor
ATP13A2	Tumor
ATP13A3	Tumor
ATP13A4	Normal
ATP1A2	Normal
ATP2B1	Tumor
ATP2C1	Tumor
ATP2C2	Tumor
ATP5J2-PTCD1	Tumor
ATP6V0A4	Normal
ATP6V1C1	Tumor
ATP6V1C2	Normal
ATP8B1	Tumor
ATP9A	Tumor
ATR	Tumor
ATRN	Tumor
ATRX	Tumor
AUNIP	Tumor
AURKA	Tumor
AZIN1	Tumor
B2M	Tumor
B3GNT6	Normal
B3GNT7	Tumor
B3GNT8	Normal
B3GNT9	Tumor
B4GALNT1	Tumor
B4GALNT3	Tumor
BAALC-AS1	Tumor
BAG4	Tumor
BAIAP2L1	Tumor
BAIAP2L2	Tumor
BAMBI	Tumor
BARX2	Normal
BATF	Tumor
BATF2	Tumor
BAZ1A	Tumor
BAZ1B	Tumor
BBC3	Tumor
BBOX1	Normal
BBOX1-AS1	Tumor
BBX	Tumor
BCAP31P1	Normal
BCAP31P2	Normal
BCAR1	Tumor
BCAS4	Tumor
BCAT1	Tumor
BCKDHA	Normal
BCL2A1	Tumor
BCL2L14	Tumor
BCL7A	Tumor
BCL9	Tumor
BCO2	Normal
BCORL1	Tumor
BCYRN1	Tumor
BDKRB1	Normal
BEND3	Tumor
BEX2	Normal
BEX4	Normal
BFAR	Tumor
BGN	Tumor
BHLHE40	Normal
BHLHE41	Tumor
BHMT2	Normal
BICD1	Tumor
BID	Tumor
BIRC3	Tumor
BIRC5	Tumor
BIRC6	Tumor
BIVM-ERCC5	Tumor
BLM	Tumor
BLNK	Normal
BLOC1S5-TXNDC5	Tumor
BMF	Tumor
BMI1	Tumor
BMP2	Tumor
BMP8A	Tumor
BMP8B	Tumor
BMPR1A	Tumor
BMPR2	Tumor
BMS1P10	Normal
BMS1P11	Normal
