Gene_Symbol	Upregulated
RBL1	Tumor
NDC80	Tumor
TCF7	Tumor
PKP1	Normal
STK17B	Tumor
SMARCD3	Normal
FYB	Tumor
ME2	Tumor
EPB41L3	Normal
NFE2L1	Tumor
GSK3B	Tumor
XPO1	Tumor
RNF13	Tumor
TNPO1	Tumor
PLOD1	Tumor
PDS5B	Tumor
FAT1	Tumor
REST	Tumor
SSH1	Tumor
WBP11	Tumor
KIF3C	Tumor
GCKR	Normal
SCAMP1	Tumor
WDFY1	Tumor
SLC25A24	Tumor
ORC1	Tumor
MGST2	Normal
SNX10	Tumor
ITPKC	Normal
FAT2	Normal
MTMR2	Tumor
FTL	Tumor
NLK	Tumor
TMPRSS11E	Normal
LPCAT2	Tumor
NID2	Tumor
GMCL1	Tumor
PTHLH	Tumor
SULT2B1	Normal
TPX2	Tumor
TMEM40	Normal
SMOX	Tumor
LZTS3	Tumor
XRN2	Tumor
ESF1	Tumor
RBBP9	Tumor
TMEM230	Tumor
PXN	Tumor
FXYD5	Tumor
GRAMD1A	Tumor
HEPH	Tumor
GANAB	Tumor
RBM41	Tumor
SLC9A1	Tumor
ICAM1	Tumor
LYZ	Tumor
TFAP4	Tumor
FETUB	Normal
GLG1	Tumor
KIF4A	Tumor
PLEKHG2	Tumor
PUS7	Tumor
LAMB4	Normal
ITGA6	Tumor
pk	Tumor
SEL1L3	Tumor
TF	Normal
PITPNM3	Normal
ORC6	Tumor
G2E3	Tumor
TGM1	Normal
TRPM7	Tumor
WDR76	Tumor
TGFB2	Tumor
GABRP	Normal
KRT31	Normal
FMO2	Normal
SUCO	Tumor
MSH2	Tumor
EPB41L4B	Tumor
TMEM38B	Tumor
PTGS1	Normal
SORBS1	Normal
TPSD1	Normal
SMIM24	Tumor
TREM2	Tumor
FKBP5	Normal
HSP90AB1	Tumor
ITPR3	Tumor
NRP1	Tumor
PRTFDC1	Tumor
PALMD	Normal
TSPAN15	Tumor
SETD1A	Tumor
PRKY	Normal
MISP	Tumor
IZUMO4	Normal
GADD45B	Normal
PALM	Normal
MKNK2	Normal
RANBP1	Tumor
MMP11	Tumor
SLC7A4	Normal
TBC1D10A	Normal
SF3A1	Tumor
SEC14L2	Normal
PRODH	Normal
PLA2G3	Normal
LGALS2	Tumor
LGALS1	Tumor
PATZ1	Tumor
SOX10	Normal
TPTEP1	Normal
KDELR3	Tumor
TOM1	Normal
MCM5	Tumor
TSPO	Normal
RASD2	Tumor
PDGFB	Tumor
SYNGR1	Normal
MYH9	Tumor
FOXRED2	Tumor
TNRC6B	Tumor
SGSM3	Normal
IL2RB	Tumor
PMM1	Normal
GZMB	Tumor
POLE2	Tumor
GNPNAT1	Tumor
PLEK2	Tumor
TMED8	Tumor
ITPK1	Tumor
SIX4	Tumor
HIF1A	Tumor
SRSF5	Normal
ZFYVE21	Normal
PCNX	Tumor
SEC23A	Tumor
RABGGTA	Normal
NFATC4	Normal
PLTP	Tumor
MMP9	Tumor
PROCR	Tumor
GINS1	Tumor
MYBL2	Tumor
HNF4A	Tumor
NFATC2	Tumor
STK4	Tumor
SALL4	Tumor
TCFL5	Tumor
SLC17A9	Tumor
PTK6	Normal
ISM1	Normal
RNF24	Tumor
SLC52A3	Tumor
FERMT1	Tumor
MYL9	Normal
HCK	Tumor
POFUT1	Tumor
KIF3B	Tumor
MAPRE1	Tumor
TTI1	Tumor
WFDC2	Tumor
PIGU	Tumor
USP14	Tumor
SMCHD1	Tumor
LIPG	Tumor
MIB1	Tumor
MXRA5	Tumor
VSIG1	Tumor
NXT2	Tumor
PRPS2	Tumor
SRPX	Normal
STAG2	Tumor
PIM2	Tumor
MAGT1	Tumor
SMS	Tumor
TIMP1	Tumor
GABRE	Normal
KLF8	Normal
SRPX2	Normal
GLA	Tumor
TNFSF13B	Tumor
FNDC3A	Tumor
SLC25A15	Tumor
KPNA3	Tumor
FLT1	Tumor
VWA8	Tumor
OLFM4	Tumor
MGRN1	Tumor
HSF4	Normal
GDPD3	Normal
MMP15	Tumor
USB1	Tumor
NDRG4	Normal
VAC14	Tumor
ESRP2	Normal
USP10	Tumor
TOX3	Tumor
NOMO1	Tumor
TMC5	Tumor
RASL12	Normal
OCA2	Normal
TGM5	Normal
RHOV	Normal
OIP5	Tumor
ZDHHC2	Tumor
FZD3	Tumor
RIPK2	Tumor
NBN	Tumor
IMPAD1	Tumor
SFRP1	Normal
LAPTM4B	Tumor
IKBKB	Normal
PLAT	Tumor
JPH1	Tumor
WISP1	Tumor
SLC39A14	Tumor
LEPROTL1	Tumor
MCM4	Tumor
MAN2B1	Tumor
KCNN4	Tumor
RELB	Tumor
PPP1R13L	Normal
RNASEH2A	Tumor
KLC3	Normal
IL4I1	Tumor
IL27RA	Tumor
EPHX3	Normal
NKG7	Tumor
KDELR1	Tumor
GRIN2D	Tumor
PDE4C	Normal
UPK1A	Normal
LSR	Tumor
ZNF574	Tumor
SIPA1L3	Tumor
GTPBP10	Tumor
TWISTNB	Tumor
ITGB8	Tumor
SP4	Tumor
WDR91	Normal
PTN	Normal
H2AFV	Tumor
MET	Tumor
LMBR1	Tumor
WNT2	Tumor
HOXA6	Tumor
IQCE	Tumor
HOXA13	Tumor
HIBADH	Tumor
GRB10	Tumor
FKBP14	Tumor
STX1A	Tumor
GARS	Tumor
EPHB6	Normal
HSPB1	Normal
SNX8	Tumor
USP42	Tumor
SERPINE1	Tumor
PLOD3	Tumor
RPA3	Tumor
PHF14	Tumor
TMEM106B	Tumor
SFRP4	Tumor
MEST	Tumor
POU6F2	Tumor
TSPAN13	Tumor
TMEM176B	Tumor
TMEM248	Tumor
LIMK1	Tumor
FSD1L	Tumor
NMRK1	Normal
TMEM245	Tumor
PRUNE2	Normal
TGFBR1	Tumor
PTGR1	Normal
SUSD1	Tumor
KANK1	Normal
PIP5K1B	Tumor
GLIS3	Tumor
RAPGEF1	Tumor
PTGDS	Normal
PHYH	Tumor
SEC23IP	Tumor
SPOCK2	Tumor
MINPP1	Tumor
LIPA	Tumor
FAM208B	Tumor
SMC3	Tumor
UBE2S	Tumor
FBXL20	Tumor
RAPGEFL1	Normal
TRIM37	Tumor
P2RX1	Normal
TRIM16L	Normal
RECQL5	Normal
INTS2	Tumor
MED13	Tumor
HOXB6	Tumor
SLC6A4	Normal
PSMD11	Tumor
LGALS3BP	Tumor
KRT32	Normal
EZH1	Normal
SGCA	Normal
LRRC59	Tumor
SMURF2	Tumor
HLF	Normal
SLC16A6	Normal
MMD	Tumor
TMEM97	Tumor
FOXN1	Normal
PHF12	Tumor
TMEM33	Tumor
NMU	Normal
KIAA1211	Tumor
TRIM2	Tumor
WHSC1	Tumor
STIM2	Tumor
KLHL5	Tumor
NCAPG	Tumor
ZBTB16	Normal
UNC93B1	Tumor
ST3GAL4	Normal
PANX1	Tumor
MDK	Tumor
NUP98	Tumor
SELPLG	Tumor
MLEC	Tumor
MVK	Normal
KRT18	Tumor
TNS2	Normal
PPM1H	Tumor
WNT5B	Normal
MAGOHB	Tumor
FOXM1	Tumor
MYL2	Normal
RAD51AP1	Tumor
SH2B3	Tumor
OAS3	Tumor
OAS2	Tumor
RASAL1	Normal
SLC38A1	Tumor
RERGL	Normal
TBC1D30	Tumor
ING4	Normal
SLCO1B3	Tumor
GOLT1B	Tumor
GYS2	Normal
FRK	Tumor
NEDD9	Tumor
MAN1A1	Tumor
TPD52L1	Normal
NCOA7	Tumor
SASH1	Normal
FBXO5	Tumor
MCM3	Tumor
ICK	Tumor
RAB23	Tumor
PTP4A1	Tumor
VNN1	Tumor
ZBTB24	Tumor
PERP	Normal
SLC16A10	Tumor
UNC93A	Normal
SMOC2	Normal
TTK	Tumor
FAM46A	Tumor
FBRSL1	Tumor
MAN2A1	Tumor
HMGCS1	Normal
KIF20A	Tumor
NNT	Tumor
LOX	Tumor
SPARC	Tumor
LMNB1	Tumor
GOLPH3	Tumor
NPR3	Normal
SLC27A6	Normal
IRX4	Normal
SLC12A7	Tumor
GNPDA1	Tumor
NUP155	Tumor
STC2	Tumor
HGD	Tumor
FAM162A	Normal
KPNA1	Tumor
UBE3A	Tumor
SLC25A36	Tumor
TFDP2	Tumor
XRN1	Tumor
KAT2B	Normal
USP9Y	Normal
PLXNA1	Tumor
PODXL2	Tumor
MRPL3	Tumor
HEMK1	Normal
KLHL24	Tumor
PLCH1	Tumor
SSR3	Tumor
FOXP1	Tumor
MOB1A	Tumor
RTKN	Tumor
TP53I3	Normal
FNDC4	Normal
ITGA4	Tumor
IFIH1	Tumor
SPTBN1	Tumor
EVA1A	Tumor
FN1	Tumor
STAT1	Tumor
GLS	Tumor
PAPOLG	Tumor
OTX1	Tumor
GNLY	Tumor
HSPE1	Tumor
PLCD4	Normal
ZNF142	Tumor
IL1R2	Normal
SLC9A2	Tumor
FHL2	Tumor
TPO	Normal
PROC	Tumor
HPCAL1	Tumor
ODC1	Tumor
NOL10	Tumor
GORASP2	Tumor
SLC1A4	Tumor
SOS1	Tumor
KYNU	Tumor
WIPF1	Tumor
PNO1	Tumor
PLEK	Tumor
MSH6	Tumor
PLEKHA3	Tumor
FAM20B	Tumor
KIAA1324	Tumor
SRM	Tumor
MAD2L2	Tumor
KIAA2013	Tumor
SMG7	Tumor
TROVE2	Tumor
PHTF1	Tumor
MYCL	Normal
MFAP2	Tumor
SSX2IP	Tumor
GBP3	Tumor
GBP1	Tumor
P3H1	Tumor
TSPAN1	Tumor
TMED5	Tumor
PRRC2C	Tumor
RSRP1	Normal
STMN1	Tumor
NEK2	Tumor
RPS6KA1	Tumor
TXNDC12	Tumor
RCN2	Tumor
KMT2A	Tumor
KIF14	Tumor
TNNT2	Normal
MREG	Normal
LRMP	Normal
SPCS2	Tumor
PLAGL1	Normal
TNFAIP3	Tumor
RAB32	Tumor
TCF21	Normal
SLC16A7	Normal
RPN2	Tumor
TGIF2	Tumor
SPP1	Tumor
RAB3GAP2	Tumor
PPL	Normal
PCDH17	Tumor
SATB2	Tumor
GDA	Tumor
HEATR1	Tumor
PTBP3	Tumor
NEK6	Tumor
KDSR	Tumor
IRF2BPL	Tumor
EPCAM	Tumor
IFIT3	Tumor
IFIT2	Tumor
PPP1R3C	Normal
HELLS	Tumor
GNA13	Tumor
HOXB5	Tumor
MSX2	Tumor
MTHFD1L	Tumor
PCDHB10	Tumor
TP53AIP1	Normal
NUDCD1	Tumor
MASTL	Tumor
PROSER1	Tumor
HSPH1	Tumor
KBTBD7	Tumor
TGFBI	Tumor
PLS1	Tumor
TMPO	Tumor
TNFRSF10B	Tumor
PDLIM2	Normal
EPHX2	Normal
UBIAD1	Tumor
RDH10	Tumor
NCAPH	Tumor
TRIM6	Normal
ZSCAN18	Normal
PDZRN3	Normal
RNF2	Tumor
KIF18A	Tumor
GJB6	Normal
ZNF639	Tumor
LRIF1	Tumor
GTDC1	Tumor
FYTTD1	Tumor
LDB3	Normal
ZNF644	Tumor
PQLC1	Normal
HOXA7	Tumor
INHBA	Tumor
FKBP9	Tumor
NT5C3A	Tumor
KIAA1549	Tumor
PLAU	Tumor
SRGN	Tumor
P4HA1	Tumor
ZWINT	Tumor
PKN1	Tumor
GIPC1	Normal
ZC3H13	Tumor
NLN	Tumor
SPATS2	Tumor
PDE1B	Normal
HOXC13	Tumor
HOXC11	Tumor
TUBA1B	Tumor
STIL	Tumor
HJURP	Tumor
NDUFAF4	Tumor
PLP1	Normal
FAM199X	Tumor
NMI	Tumor
TNFAIP6	Tumor
LPGAT1	Tumor
RAB38	Normal
SLPI	Normal
PIGT	Tumor
ZNFX1	Tumor
TMEM189-UBE2V1	Tumor
PTGIS	Normal
STAU1	Tumor
PMEPA1	Tumor
ZBP1	Tumor
XG	Normal
NAGK	Normal
MCEE	Normal
PAIP2B	Normal
HIF3A	Normal
LYPD3	Normal
USP9X	Tumor
PRICKLE4	Normal
SPDEF	Tumor
TREM1	Tumor
SOX4	Tumor
GLO1	Tumor
SSR1	Tumor
RUNX2	Tumor
MYRF	Tumor
SOX21	Normal
IRF1	Tumor
SOX9	Tumor
GTF3C4	Tumor
PPP1R12C	Normal
MBOAT7	Tumor
IL1B	Tumor
POLR1B	Tumor
MED1	Tumor
TRIP10	Normal
FOSB	Tumor
SDCBP2	Normal
TGM3	Normal
FOXA2	Tumor
PSMF1	Tumor
SNRPB	Tumor
NRSN2	Tumor
RRBP1	Tumor
FLRT3	Tumor
SNRPB2	Tumor
MCM8	Tumor
NCLN	Tumor
FAM83C	Normal
PLAGL2	Tumor
PSMB2	Tumor
F10	Normal
SLURP1	Normal
LRFN3	Tumor
PDCD2L	Tumor
PRDX5	Normal
SCAF1	Tumor
PRR12	Tumor
WNK4	Normal
GLIS2	Tumor
IFI6	Tumor
SIX1	Tumor
HSPA2	Normal
SGPP1	Tumor
WDR60	Tumor
IPPK	Normal
ZNF484	Tumor
MASP1	Normal
HRASLS	Normal
HELB	Tumor
TSPAN8	Tumor
RAB3IP	Tumor
FGFRL1	Tumor
PLA2G5	Normal
SLC35E1	Tumor
PKMYT1	Tumor
FBXL16	Normal
VIL1	Tumor
SHFM1	Tumor
HIP1	Tumor
PAICS	Tumor
PPAT	Tumor
YWHAH	Tumor
RAC2	Tumor
LIF	Tumor
KRT17	Tumor
RNF112	Normal
POT1	Tumor
PODXL	Tumor
STRIP2	Tumor
IFT22	Tumor
MYO1B	Tumor
HAT1	Tumor
HOXD10	Tumor
HOXD11	Tumor
TWSG1	Tumor
ICE2	Tumor
KNSTRN	Tumor
VPS13C	Tumor
ISLR	Tumor
LOXL1	Tumor
SOX15	Normal
FAM64A	Tumor
PLD2	Normal
KLK10	Normal
KLK8	Normal
RNASE1	Tumor
EPB41L4A	Normal
ITFG1	Tumor
SGOL1	Tumor
RPS4Y1	Normal
KLF16	Tumor
GNL3L	Tumor
SH3BP4	Tumor
PRKCSH	Tumor
TULP4	Tumor
FCHO1	Tumor
MAP1S	Tumor
KLHDC7B	Tumor
PXDN	Tumor
GDF15	Tumor
PGPEP1	Tumor
JUND	Tumor
HELZ2	Tumor
TNNT3	Normal
TNNI2	Normal
MNX1	Tumor
RBBP8NL	Normal
SMPDL3B	Tumor
PNCK	Normal
PLXNA3	Tumor
TXLNGY	Normal
ULBP3	Tumor
LATS1	Tumor
EPS8L1	Normal
HIGD1B	Normal
TEX101	Normal
GINS2	Tumor
PRR7	Tumor
NFATC1	Tumor
IDO1	Tumor
PPT1	Tumor
RLIM	Tumor
TRAF3	Tumor
GALNT15	Normal
SLC6A6	Tumor
PPFIA1	Tumor
NINJ1	Tumor
TNS4	Tumor
TOP2A	Tumor
RARA	Tumor
RAI2	Normal
RHPN2	Tumor
SLC6A11	Normal
NUP210	Tumor
PRKAA1	Tumor
ITGB4	Tumor
PCNA	Tumor
RHBG	Normal
RAB25	Normal
MTL5	Tumor
LPIN3	Normal
RBM38	Tumor
ZBED3	Tumor
SLC41A1	Tumor
EPSTI1	Tumor
POSTN	Tumor
RFC3	Tumor
RNF128	Tumor
TBC1D8B	Tumor
EPHB2	Tumor
RARRES3	Tumor
MYH11	Normal
PDZD2	Normal
GSTT2B	Normal
ZNF767P	Normal
SPINK5	Normal
LRRCC1	Tumor
LYVE1	Normal
MICALCL	Tumor
MICAL2	Tumor
TTC9	Normal
LOXL2	Tumor
KATNBL1	Normal
REG4	Tumor
GSTM5	Normal
VAV3	Normal
VTCN1	Tumor
FKBP11	Tumor
GRHL1	Normal
ROCK2	Tumor
RSAD2	Tumor
LPIN1	Normal
SAA2	Tumor
ERN2	Tumor
IL2RA	Tumor
RBMX2	Tumor
STK26	Tumor
PUM1	Tumor
SPOCD1	Tumor
RNF138	Tumor
FADS2	Tumor
TCN1	Normal
STT3A	Tumor
ETS1	Tumor
SLC37A2	Normal
TMED7	Tumor
NREP	Tumor
WDR36	Tumor
OSTF1	Normal
RFK	Tumor
TMEM2	Tumor
GOLM1	Tumor
FAM189A2	Normal
HAVCR2	Tumor
SDS	Tumor
TBX3	Tumor
OASL	Tumor
RNFT2	Tumor
P2RX4	Tumor
HILPDA	Normal
NT5E	Tumor
ORC3	Tumor
PRR5L	Tumor
GDF11	Tumor
ITGA7	Normal
RDH5	Normal
ESPL1	Normal
SLC26A10	Normal
NHSL1	Tumor
TEC	Normal
SEMA4F	Tumor
GNS	Tumor
PCNXL2	Tumor
URB2	Tumor
LAMC1	Tumor
SP110	Tumor
ITM2C	Tumor
TGFBRAP1	Tumor
GCC2	Tumor
PLXNC1	Tumor
SLC41A2	Tumor
RCBTB1	Tumor
SCEL	Normal
LCP1	Tumor
SCRN1	Tumor
TNS3	Tumor
IGF2BP3	Tumor
KDELR2	Tumor
IL6	Tumor
TTYH3	Tumor
NMT1	Tumor
LIMD2	Tumor
RTP4	Tumor
NDUFB5	Tumor
MRPL47	Tumor
SCN7A	Normal
GATA4	Tumor
SKIL	Tumor
IL1RN	Normal
IL36A	Normal
IL36RN	Normal
SAP130	Tumor
UGGT1	Tumor
SMC2	Tumor
FAM129B	Normal
KIF12	Tumor
IL33	Normal
IL11RA	Normal
FOXP4	Tumor
PPIL1	Tumor
PIM1	Normal
NRM	Tumor
FGFBP1	Normal
PRKRIR	Tumor
PI15	Tumor
GGH	Tumor
SULF1	Tumor
TGS1	Tumor
SORL1	Tumor
MMP7	Tumor
TRIM29	Normal
MMP13	Tumor
THBS1	Tumor
NUSAP1	Tumor
KIF23	Tumor
ITGA11	Tumor
HAUS2	Tumor
ITPKA	Tumor
SMAD6	Tumor
STRA6	Tumor
GCOM1	Normal
GCHFR	Normal
FNBP1L	Tumor
IFI44L	Tumor
IFI44	Tumor
PNPT1	Tumor
LRPPRC	Tumor
KIF11	Tumor
KIF20B	Tumor
EXOC6	Tumor
GPR87	Normal
ZNF365	Normal
PPIG	Tumor
OLA1	Tumor
SSFA2	Tumor
ITGAV	Tumor
SLC40A1	Tumor
PARP9	Tumor
SPPL2A	Tumor
HERC5	Tumor
MMRN1	Normal
G3BP2	Tumor
SEP11	Tumor
SCARB2	Tumor
PPP3CA	Tumor
SLC39A8	Tumor
RGS3	Tumor
GUCD1	Tumor
ETV6	Tumor
FAM60A	Tumor
ZCRB1	Tumor
VAMP1	Normal
GLIPR1	Tumor
POC1B	Tumor
TMTC3	Tumor
LUM	Tumor
NEDD1	Tumor
GAS2L3	Tumor
SDSL	Tumor
GLTP	Normal
NUPL1	Tumor
SLC46A3	Tumor
SUOX	Normal
GALNT6	Tumor
LMBR1L	Normal
LPAR6	Normal
RB1	Tumor
SBNO1	Tumor
RHOF	Tumor
MBNL2	Tumor
RAB20	Tumor
TMX1	Tumor
PELI2	Tumor
SLC38A6	Tumor
RDH12	Normal
RAB15	Tumor
WARS	Tumor
NIPA2	Tumor
TCF12	Tumor
HDC	Normal
UBE2Q2	Tumor
TSPAN3	Tumor
NEIL1	Normal
MAN2C1	Normal
MESDC1	Tumor
PML	Tumor
ULK3	Normal
RHCG	Normal
FANCI	Tumor
FURIN	Tumor
SH3GL3	Normal
FTO	Tumor
IGSF6	Tumor
MARVELD3	Tumor
ZFHX3	Tumor
NLRC5	Tumor
GCSH	Tumor
NOL3	Normal
IRF8	Tumor
RHOT2	Normal
NCOR1	Tumor
GFOD2	Normal
VPS53	Tumor
SGSM2	Normal
NPEPPS	Normal
G6PC3	Tumor
IMPA2	Normal
SLC39A6	Tumor
GATA6	Tumor
MINK1	Normal
RPTOR	Tumor
SECTM1	Tumor
ZNF750	Normal
P3H4	Tumor
PNMT	Normal
FKBP10	Tumor
PPAP2C	Tumor
TMEM91	Normal
IFITM3	Tumor
TRPM2	Tumor
IGLON5	Normal
RCN3	Tumor
PADI3	Normal
PADI1	Normal
PGD	Normal
MAP3K6	Normal
SYTL1	Normal
PRKACB	Tumor
PIGK	Tumor
TINAGL1	Tumor
KIF2C	Tumor
ZNF697	Tumor
ITGA10	Normal
NME7	Tumor
TMCO1	Tumor
POU2F1	Tumor
PVRL4	Normal
FCGR2A	Tumor
NUF2	Tumor
ISG20L2	Tumor
XPR1	Tumor
RGS16	Tumor
RORC	Normal
SF3B4	Tumor
ZNF687	Tumor
FAM63A	Normal
INTS7	Tumor
TAF1A	Tumor
SUSD4	Normal
S100A8	Normal
TPM3	Tumor
S100A7	Tumor
FLG	Normal
GALNT2	Tumor
SCCPDH	Tumor
MLK4	Tumor
FBXO28	Tumor
PARP1	Tumor
PDIA6	Tumor
HNRNPLL	Tumor
GALM	Tumor
MEIS1	Normal
MALL	Normal
SLC20A1	Tumor
UBXN4	Tumor
POLR2D	Tumor
HSPD1	Tumor
RHBDD1	Tumor
HES6	Tumor
FAM198A	Normal
IQSEC1	Tumor
PTPRG	Tumor
LRIG1	Tumor
NXPE3	Tumor
NCEH1	Tumor
LPP	Tumor
OCIAD2	Tumor
SLC10A6	Normal
SCD5	Tumor
SNCA	Normal
SPATA5	Tumor
NAF1	Tumor
MYO10	Tumor
SKP2	Tumor
OSMR	Tumor
LHFPL2	Tumor
SSBP2	Normal
IQGAP2	Tumor
SPINK7	Normal
N4BP3	Normal
RMND5B	Normal
KCNMB1	Normal
TRIM7	Normal
FAM193B	Normal
PLA2G7	Tumor
TNFRSF21	Tumor
PRIM2	Tumor
NFKBIE	Tumor
PHIP	Tumor
MMS22L	Tumor
MTFR2	Tumor
GNA12	Tumor
IGFBP3	Tumor
PURB	Tumor
GBAS	Tumor
TMEM209	Tumor
ZC3HAV1L	Tumor
TMEM140	Tumor
EPHA1	Normal
NCAPG2	Tumor
RAB19	Tumor
SH3KBP1	Tumor
MSN	Tumor
IL2RG	Tumor
PRPS1	Tumor
GPC3	Tumor
MFHAS1	Tumor
ZNF185	Normal
STAR	Normal
GINS4	Tumor
LACTB2	Tumor
TERF1	Tumor
MTDH	Tumor
LRP12	Tumor
POLR2K	Tumor
UTP23	Tumor
FAM83A	Normal
GSDMC	Normal
SLC39A4	Tumor
VLDLR	Normal
NFIB	Tumor
HAUS6	Tumor
SURF4	Tumor
SH3GLB2	Normal
FAM73B	Normal
HMCN2	Normal
PLEKHS1	Tumor
TCF7L2	Tumor
MKI67	Tumor
LIN7C	Tumor
SCGB1A1	Normal
SYT8	Normal
PTPRJ	Tumor
SERPINH1	Tumor
PAK1	Tumor
ZC3H12C	Tumor
NCAM1	Normal
NPAT	Tumor
HYOU1	Tumor
FADS1	Tumor
ROM1	Normal
PLCH2	Normal
MPZL2	Normal
TAGLN	Normal
JPH2	Normal
YTHDF1	Tumor
TM7SF2	Normal
TBX6	Normal
HMGA2	Tumor
MMP3	Tumor
ITGB1	Tumor
FCGR1A	Tumor
LYPD6B	Tumor
PDCD4	Normal
PRSS23	Tumor
PPP1R1C	Tumor
IL18	Normal
SEC24D	Tumor
SLC7A11	Tumor
GPR158	Tumor
TMEM263	Tumor
PLBD2	Tumor
SLC2A13	Tumor
KCTD14	Tumor
NEK7	Tumor
UPF2	Tumor
EPS8	Tumor
QTRTD1	Tumor
ZNF827	Tumor
INPP1	Normal
TMEM45B	Normal
SAV1	Tumor
TDO2	Tumor
GFRA1	Normal
RABGAP1L	Tumor
TMEM56	Tumor
PTPN14	Tumor
MGAT5	Tumor
TMEM163	Tumor
HSPB8	Normal
SPC25	Tumor
PDE3B	Tumor
TGOLN2	Tumor
UHMK1	Tumor
POC5	Tumor
SUV39H2	Tumor
TMEM123	Tumor
IGSF10	Normal
SPARCL1	Normal
MBNL1	Tumor
SLC30A6	Tumor
GPR180	Tumor
FARP1	Tumor
IFIT5	Tumor
PTPRK	Tumor
MARVELD2	Tumor
PLOD2	Tumor
SMARCA5	Tumor
RANBP2	Tumor
TMEM87B	Tumor
SLC25A27	Normal
FAM49B	Tumor
LINC00467	Tumor
LPCAT1	Tumor
LURAP1L	Tumor
TMPRSS11D	Normal
PID1	Normal
LGI4	Normal
HS2ST1	Tumor
MSI2	Tumor
NUS1	Tumor
PPP2R5E	Tumor
THY1	Tumor
UBASH3B	Tumor
ROBO3	Normal
FAM134B	Tumor
PRKCA	Tumor
MIA3	Tumor
TNIK	Tumor
PGM5	Normal
SH3RF1	Tumor
GBP5	Tumor
FAM69A	Tumor
SORBS2	Normal
LY96	Tumor
L3MBTL4	Normal
JAM2	Normal
SKA1	Tumor
VOPP1	Tumor
FBXL18	Tumor
KLF10	Tumor
GPR78	Normal
TRMT44	Normal
HSPA13	Tumor
SAMSN1	Tumor
SLC16A1	Tumor
SLC7A7	Tumor
PIK3AP1	Tumor
PDIA4	Tumor
FZD7	Tumor
SPAG17	Normal
PXYLP1	Tumor
RAET1L	Normal
MCU	Tumor
KCNMA1	Normal
TIAM1	Normal
SFR1	Tumor
FUT6	Normal
MTERF3	Tumor
PTDSS1	Tumor
HKDC1	Tumor
UBE2L6	Tumor
TBC1D31	Tumor
SASS6	Tumor
SLC6A1	Normal
NRG1	Tumor
STEAP2	Tumor
ST3GAL2	Tumor
IL34	Normal
FAM81A	Tumor
MYO1E	Tumor
TSC22D3	Normal
PALM2-AKAP2	Tumor
ZNF618	Tumor
SLC34A2	Tumor
FMNL2	Tumor
GAREML	Tumor
WDR66	Tumor
GRHL3	Normal
PTPDC1	Tumor
GALNT14	Normal
FAM46B	Normal
GPR153	Tumor
RHBDL2	Normal
NRG2	Normal
SPATA2	Tumor
ZFAND2B	Normal
SLAMF8	Tumor
ZNF276	Normal
FCER1G	Tumor
MPZ	Normal
IFNAR2	Tumor
STC1	Tumor
HOXB13	Tumor
RUNX1	Tumor
SIM2	Normal
HK2	Tumor
UBR1	Tumor
PGLYRP3	Normal
ZDHHC1	Tumor
RGS12	Normal
ZBTB8A	Tumor
VMA21	Tumor
TFF1	Tumor
TMPRSS3	Tumor
ITGB2	Tumor
LSS	Normal
VAV2	Tumor
S100B	Normal
SLC2A6	Tumor
ST6GALNAC6	Normal
TAOK1	Tumor
MPZL3	Normal
NLRX1	Normal
FAM189B	Tumor
SLC25A44	Tumor
NBEAL2	Normal
PTH1R	Normal
FGFR4	Tumor
NACC1	Tumor
LY6E	Tumor
TONSL	Tumor
ORAI2	Tumor
SH2B2	Tumor
MAML1	Tumor
NAPEPLD	Tumor
MFSD12	Tumor
ZNF577	Normal
LSM12	Tumor
PLCD3	Tumor
FMNL3	Tumor
RACGAP1	Tumor
LARP4	Tumor
RAVER1	Tumor
TNFSF13	Tumor
FGF11	Normal
SPSB3	Normal
HS3ST6	Normal
TBC1D24	Tumor
PAQR4	Tumor
SHANK2	Tumor
SYVN1	Tumor
LRP5	Tumor
NOL9	Tumor
SEPN1	Tumor
RBP7	Normal
FBLIM1	Tumor
LAPTM5	Tumor
SDC3	Tumor
RBBP4	Tumor
WNT4	Normal
MEGF6	Normal
FAM102B	Tumor
HENMT1	Tumor
GBP4	Tumor
VCAM1	Tumor
SLC30A7	Tumor
ZNF281	Tumor
ZNF496	Tumor
NCSTN	Tumor
OLFML2B	Tumor
FLVCR1	Tumor
RBM15	Tumor
KIF26B	Tumor
KLHDC8A	Normal
IL24	Tumor
PIGR	Tumor
REL	Tumor
FBXO41	Tumor
NEURL3	Tumor
RPRD2	Tumor
MSX1	Tumor
IVL	Normal
SPRR3	Normal
SPRR2D	Normal
PGLYRP4	Normal
S100A9	Normal
S100A12	Normal
TDRD10	Normal
FZD5	Tumor
NPPC	Normal
LRRC58	Tumor
FSTL1	Tumor
LMOD1	Normal
IGFBP7	Tumor
KRTCAP2	Tumor
TMEM79	Normal
KIAA1524	Tumor
SGOL2	Tumor
PRKCI	Tumor
SNHG16	Tumor
SPICE1	Tumor
NKX6-1	Normal
GMPS	Tumor
IL17RC	Normal
U2SURP	Tumor
HPS3	Tumor
TOPBP1	Tumor
WDR43	Tumor
ZNF148	Tumor
YEATS2	Tumor
KLF15	Normal
RPN1	Tumor
SENP2	Tumor
HEYL	Tumor
RFC4	Tumor
RPL39L	Tumor
PIGX	Tumor
MFI2	Tumor
